scenario,variant,run,tx_packets,rx_packets,lost_packets,pdr_percent,min_flow_pdr_percent,mean_delay_ms,delay_p50_ms,delay_p95_ms,goodput_kbps,olsr_control_packets,olsr_control_bytes,normalized_overhead,recovery_seconds,next_hop_changes,route_unavailable_samples,signal_transitions,failure_transitions,recoveries,disrupted_node
C,detection_only,114,8984,8760,224,97.506679,95.014467,2.079469,2.000000,2.000000,398.677333,784,74708,0.016657,5.000000,1,0,0,1,0,6
C,hello_only,114,8984,8758,226,97.484417,94.992210,2.076690,2.000000,2.000000,398.586311,857,79688,0.017771,5.000000,1,0,0,1,0,6
C,tc_only,114,8984,8760,224,97.506679,95.014467,2.079469,2.000000,2.000000,398.677333,784,74708,0.016657,5.000000,1,0,0,1,0,6
C,failure20,114,8984,8758,226,97.484417,94.992210,2.076690,2.000000,2.000000,398.586311,857,79688,0.017771,5.000000,1,0,0,1,0,6
C,failure80,114,8984,8760,224,97.506679,95.014467,2.079469,2.000000,2.000000,398.677333,784,74708,0.016657,5.000000,1,0,0,0,0,6
B,signal78,114,8984,8940,44,99.510240,99.154240,3.478936,2.000000,6.000000,406.869333,2843,287956,0.062910,1.000000,13,0,16,0,0,6
B,signal84,114,8984,8741,243,97.295191,94.591587,2.083911,2.000000,2.000000,397.812622,886,83096,0.018567,0.000000,2,0,0,1,0,6
C,detection_only,115,8967,8674,293,96.732463,93.464198,5.254587,2.000000,3.000000,394.763378,806,76068,0.017128,5.000000,5,0,0,1,0,9
C,hello_only,115,8967,8740,227,97.468496,94.936427,2.068187,2.000000,3.000000,397.767111,873,80912,0.018081,5.000000,3,0,0,1,0,9
C,tc_only,115,8967,8674,293,96.732463,93.464198,5.254587,2.000000,3.000000,394.763378,806,76068,0.017128,5.000000,5,0,0,1,0,9
C,failure20,115,8967,8741,226,97.479648,94.958733,2.058802,2.000000,3.000000,397.812622,877,80908,0.018078,5.000000,4,0,0,1,0,9
C,failure80,115,8967,8674,293,96.732463,93.464198,5.254587,2.000000,3.000000,394.763378,806,76068,0.017128,5.000000,5,0,0,0,0,9
B,signal78,115,8967,8852,115,98.717520,97.970109,3.544002,2.000000,4.000000,402.864356,2992,304376,0.067158,0.000000,18,0,16,0,0,9
B,signal84,115,8967,8695,272,96.966656,93.932634,2.230728,2.000000,3.000000,395.719111,887,83220,0.018693,0.000000,3,0,0,1,0,9
C,detection_only,116,8970,8755,215,97.603122,95.246597,2.659314,2.000000,2.000000,398.449778,827,76368,0.017037,5.000000,3,0,0,1,0,9
C,hello_only,116,8970,8711,259,97.112598,94.242357,2.551947,2.000000,2.000000,396.447289,898,81332,0.018236,6.000000,5,0,0,1,0,9
