scenario,run,metric,adaptive_minus_baseline
B,112,next_hop_changes,0.0
B,112,route_unavailable_samples,0.0
B,112,signal_transitions,3.0
B,112,failure_transitions,0.0
B,112,recoveries,0.0
B,113,pdr_percent,0.0
B,113,min_flow_pdr_percent,0.0
B,113,delay_p50_ms,0.0
B,113,delay_p95_ms,0.0
B,113,goodput_kbps,0.0
B,113,normalized_overhead,0.0034730000000000004
B,113,recovery_seconds,0.0
B,113,next_hop_changes,0.0
B,113,route_unavailable_samples,0.0
B,113,signal_transitions,3.0
B,113,failure_transitions,0.0
B,113,recoveries,0.0
B,114,pdr_percent,0.02226100000000031
B,114,min_flow_pdr_percent,0.0
B,114,delay_p50_ms,0.0
B,114,delay_p95_ms,0.0
B,114,goodput_kbps,0.09102199999995264
B,114,normalized_overhead,0.0013069999999999991
B,114,recovery_seconds,0.0
B,114,next_hop_changes,0.0
B,114,route_unavailable_samples,0.0
B,114,signal_transitions,1.0
B,114,failure_transitions,0.0
B,114,recoveries,0.0
B,115,pdr_percent,-0.02230400000000543
B,115,min_flow_pdr_percent,-0.04461299999999824
B,115,delay_p50_ms,0.0
B,115,delay_p95_ms,0.0
B,115,goodput_kbps,-0.09102200000000948
B,115,normalized_overhead,0.0031139999999999987
B,115,recovery_seconds,0.0
B,115,next_hop_changes,0.0
B,115,route_unavailable_samples,0.0
B,115,signal_transitions,2.0
B,115,failure_transitions,0.0
B,115,recoveries,0.0
B,116,pdr_percent,-0.022295999999997207
B,116,min_flow_pdr_percent,0.0
B,116,delay_p50_ms,0.0
B,116,delay_p95_ms,0.0
B,116,goodput_kbps,-0.09102200000000948
B,116,normalized_overhead,0.003209
B,116,recovery_seconds,0.0
B,116,next_hop_changes,0.0
B,116,route_unavailable_samples,0.0
B,116,signal_transitions,2.0
B,116,failure_transitions,0.0
B,116,recoveries,0.0
B,117,pdr_percent,0.27876899999999694
B,117,min_flow_pdr_percent,0.5584100000000092
B,117,delay_p50_ms,0.0
B,117,delay_p95_ms,-1.0
B,117,goodput_kbps,1.1377770000000282
B,117,normalized_overhead,0.0031480000000000015
B,117,recovery_seconds,0.0
B,117,next_hop_changes,2.0
B,117,route_unavailable_samples,0.0
B,117,signal_transitions,2.0
